,x0,x1,x2,x3
0,4,36,37,18
1,36,37,18,0
2,37,18,0,39
3,18,0,39,26
4,0,39,26,7
5,39,26,7,35
6,26,7,35,0
7,7,35,0,6
8,35,0,6,5
9,0,6,5,1
10,6,5,1,2
11,5,1,2,3
12,1,2,3,4
13,2,3,4,23
14,3,4,23,13
15,4,23,13,32
16,23,13,32,0
17,13,32,0,34
18,32,0,34,10
19,0,34,10,7
20,34,10,7,9
21,10,7,9,24
22,7,9,24,0
23,9,24,0,6
24,24,0,6,5
25,0,6,5,1
26,6,5,1,2
27,5,1,2,3
28,1,2,3,4
29,2,3,4,27
30,3,4,27,30
31,4,27,30,25
32,27,30,25,0
33,30,25,0,33
34,25,0,33,29
35,0,33,29,22
36,33,29,22,1
37,29,22,1,2
38,22,1,2,31
39,1,2,31,0
40,2,31,0,6
41,31,0,6,5
42,0,6,5,1
43,6,5,1,2
44,5,1,2,3
45,1,2,3,4
46,2,3,4,28
47,3,4,28,12
48,4,28,12,19
49,28,12,19,0
50,12,19,0,8
51,19,0,8,15
52,0,8,15,7
53,8,15,7,20
54,15,7,20,38
55,7,20,38,0
56,20,38,0,6
57,38,0,6,5
58,0,6,5,1
59,6,5,1,2
60,5,1,2,3
61,1,2,3,4
62,2,3,4,16
63,3,4,16,17
64,4,16,17,11
65,16,17,11,0
66,17,11,0,21
67,11,0,21,1
68,0,21,1,14
69,21,1,14,0
70,1,14,0,6
71,14,0,6,5
72,0,6,5,1
73,6,5,1,2
74,5,1,2,3
